is_primary_nan,total_area,basement,elevator,balcony,property_level,heating_type_nan,balcony_nan,row_price_m2,total_property_level,parking_nan,url,building_type_nan,building_year,heating_type,price,is_primary,total_property_level_nan,elevator_nan,id,is_parking,no_rooms,district_norm,building_type,property_level_nan,building_year_nan,portal_name,basement_nan
0,62.0,1,1,0,4,0,0,22603,15,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ursynow-aleja-komisji-edukacji-narodowej-62m2-mzn2043452575,0,2003,urban,1405000.0,0,0,0,mzn2043452575,1,2,ursynow,apartment,0,0,morizon,0
0,76.0,0,0,1,100,0,0,18490,100,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-zoliborz-gwiazdzista-76m2-mzn2043417224,0,2004,electrical,1420000.0,0,1,0,mzn2043417224,1,3,zoliborz,apartment,1,1,morizon,0
0,55.0,0,0,0,3,0,0,26709,7,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-polnoc-stefana-okrzei-55m2-mzn2043443986,0,2019,urban,1469000.0,0,0,0,mzn2043443986,1,2,praga polnoc,apartment,0,0,morizon,0
0,86.0,1,0,1,1,1,0,17186,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wilanow-wiktorii-wiedenskiej-86m2-mzn2043488528,1,2004,UNKNOWN,1490000.0,0,0,0,mzn2043488528,1,4,wilanow,UNKNOWN,0,1,morizon,0
0,84.0,1,0,1,1,1,0,17186,3,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-poludnie-zupnicza-84m2-mzn2043410711,1,2004,UNKNOWN,1490000.0,0,0,0,mzn2043410711,1,4,praga poludnie,UNKNOWN,0,1,morizon,0
0,75.0,0,0,0,3,1,0,20667,5,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-plosa-75m2-mzn2043369198,0,2004,UNKNOWN,1550000.0,0,0,0,mzn2043369198,1,4,targowek,block,0,1,morizon,0
0,95.0,1,0,0,4,0,0,18946,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-przy-iwickiej-park-klimatyczne-budynek-z-cegly-95m2-mzn2043455484,0,1950,urban,1799900.0,0,0,0,mzn2043455484,1,3,mokotow,tenement,0,0,morizon,0
0,99.0,0,0,0,3,0,0,15769,4,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-wyrzyska-8-99m2-mzn2043364208,0,1938,gas,1845000.0,0,0,0,mzn2043364208,1,4,wlochy,tenement,0,0,morizon,0
0,82.0,0,1,1,4,0,0,22524,6,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-marcina-kasprzaka-82m2-mzn2043453212,1,2016,urban,1865000.0,0,0,0,mzn2043453212,1,4,wola,UNKNOWN,0,0,morizon,0
0,82.0,0,0,0,6,0,0,23113,6,0,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-bokserska-82m2-mzn2043299290,1,2004,urban,1899000.0,0,0,0,mzn2043299290,1,4,mokotow,UNKNOWN,0,1,morizon,0
